abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
UAPB,#eaaa00,Arkansas Pine Bluff,UAPB,AR-Pine Bluff,fcs,#e0aa0f,SWAC,2029,16000,Pine Bluff,US,False,67.71961975,False,34.253327,-92.0214031,Golden Lion Stadium,AR,America/Chicago,3740,2000,71601,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,,Golden Lions,Arkansas-Pine Bluff,@UAPBLionsRoar
ARST,#000000,,ARST,Arkansas St,fbs,#e81018,Sun Belt,2032,30382,Jonesboro,US,False,89.52690887,False,35.8488977,-90.6677436,Centennial Bank Stadium,AR,America/Chicago,3625,1974,72404,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,,Red Wolves,Arkansas State,@AStateFB
ARKTECH,,,ARKTECH,Arkansas Tech,ii,,Great American,2033,6500,Russellville,US,False,,,35.2784173,-93.1337856,Thone Stadium at Buerkle Field,AR,,5870,,26680,http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png,,Wonder Boys,Arkansas Tech,
ARMY,#231f20,,ARMY,Army,fbs,#ce9c00,American Athletic,349,38000,West Point,US,False,99.21277618,False,41.3874924,-73.9640891,Michie Stadium,NY,America/New_York,3841,1924,10996,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,,Black Knights,Army,@ArmyWP_Football
ASH,,,ASH,Ashland,ii,,Great Midwest Athletic,308,6000,Ashland,US,False,,,40.8686147,-82.3175942,Jack Miller Stadium,OH,,3770,,,http://a.espncdn.com/i/teamlogos/ncaa/500/308.png,,Eagles,Ashland,
ASP,,Assumption College,ASP,Assumption,ii,,Northeast 10,2038,1200,Worcester,US,False,203.4,,42.2625621,-71.8018877,Multi-Sport Stadium,MA,,3848,2005,01613,http://a.espncdn.com/i/teamlogos/ncaa/500/2038.png,,Greyhounds,Assumption,
AUB,#f26522,,AUB,Auburn,fbs,#002b5c,SEC,2,87451,Auburn,US,False,201.1737976,True,32.6025532,-85.4897479,Jordan-Hare Stadium,AL,America/Chicago,3785,1939,36849,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,,Tigers,Auburn,@AuburnFootball
AUG,#a9a9aa,,AUG,Augsburg,iii,#74233d,Minnesota,124,1400,Minneapolis,US,False,,,44.9772995,-93.2654692,Edor Nelson Field,MN,,5795,,55488,http://a.espncdn.com/i/teamlogos/ncaa/500/124.png,,Auggies,Augsburg,
,,,,,,,,1000999,,,,,,,,,,,,,,,,,,Augustana,
AUGIL,,,AUGIL,Augustana IL,iii,,CCIW,2042,1800,Rock Island,US,False,,,41.4411786,-90.5766144,Charles D. Lindberg Stadium,IL,,5796,,52801,http://a.espncdn.com/i/teamlogos/ncaa/500/2042.png,,Vikings,Augustana (IL),
AUSD,,,AUSD,Augustana (SD),ii,,Northern Sun,2043,6500,Sioux Falls,US,False,,,43.5488256,-96.7307737,Kirkeby-Over Stadium,SD,,5872,,57117,http://a.espncdn.com/i/teamlogos/ncaa/500/2043.png,,Vikings,Augustana University (SD),
AUR,#000000,,AUR,Aurora,iii,#00549f,NACC,2044,600,Aurora,US,False,,,41.7571701,-88.3147539,Vago Field,IL,,5797,,60505,http://a.espncdn.com/i/teamlogos/ncaa/500/2044.png,,Spartans,Aurora,
,,,,,,,,1001004,,,,,,,,,,,,,,,,,,Aurora University,
AUS,,,AUS,Austin,iii,,Southern Collegiate Athletic,2045,2500,Sherman,US,False,,,36.2452294,-101.8858689,Jerry E. Apple Stadium,TX,,5798,,75090,http://a.espncdn.com/i/teamlogos/ncaa/500/2045.png,,'Roos,Austin,
APSU,,,APSU,Austin Peay,fcs,#8e0b0b,UAC,2046,10100,Clarksville,US,False,142.8643188,False,36.5362559,-87.3525507,Governors Stadium,TN,America/Chicago,3742,1946,37040,http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,,Governors,Austin Peay,@AustinePeayFB
AVE M,,,AVE M,Ave Maria,,,,3178,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3178.png,,Gyrenes,Ave Maria University,
AVE,#fdbb30,,AVE,Averett,iii,#012853,Old Dominion,2047,1200,Danville,US,False,,,36.5859718,-79.3950228,Daly Field at Frank R. Campbell Stadium,VA,,5799,,25130,http://a.espncdn.com/i/teamlogos/ncaa/500/2047.png,,Cougars,Averett,
AVILA,,,AVILA,Avila,,,,2048,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2048.png,,Eagles,Avila University,
AZU,,,AZU,Azusa Pacific,ii,#000000,Great Northwest,2049,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2049.png,,Cougars,Azusa Pacific,
BKN,,,BKN,Bacone College,,,,487,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/487.png,,Warriors,Bacone College,
BAK,,,BAK,Baker,,,,488,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/488.png,,Baker,Baker University,
