conference,year,teamId,team,conferenceGames_games,conferenceGames_wins,conferenceGames_losses,conferenceGames_ties,homeGames_games,homeGames_wins,homeGames_losses,homeGames_ties,awayGames_games,awayGames_wins,awayGames_losses,awayGames_ties,total_games,total_wins,total_losses,total_ties
ACC,2018,259,Virginia Tech,8,4,4,0,7,3,4,0,5,3,2,0,13,6,7,0
Mid-American,2018,2050,Ball State,8,3,5,0,6,3,3,0,6,1,5,0,12,4,8,0
American Athletic,2018,2116,UCF,9,9,0,0,8,8,0,0,4,4,0,0,13,12,1,0
CIAA,2018,395,St. Augustine's,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0
Pioneer,2018,2166,Davidson,8,3,5,0,7,5,2,0,4,1,3,0,11,6,5,0
SWAC,2018,2296,Jackson State,7,4,3,0,4,2,2,0,6,3,3,0,10,5,5,0
Ohio,2018,426,University of Mount Union,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OVC,2018,2634,Tennessee State,7,3,4,0,4,3,1,0,5,1,4,0,9,4,5,0
OVC,2018,2046,Austin Peay,8,3,5,0,5,4,1,0,6,1,5,0,11,5,6,0
GLIAC,2018,2222,Ferris State,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Big Ten,2018,127,Michigan State,9,5,4,0,7,4,3,0,5,3,2,0,13,7,6,0
SEC,2018,238,Vanderbilt,8,3,5,0,7,5,2,0,5,1,4,0,13,6,7,0
MVFC,2018,2571,South Dakota State,9,6,3,0,7,7,0,0,6,3,3,0,13,10,3,0
Pac-12,2018,26,UCLA,9,3,6,0,7,2,5,0,5,1,4,0,12,3,9,0
Big Ten,2018,2509,Purdue,9,5,4,0,7,3,4,0,5,3,2,0,13,6,7,0
ACC,2018,154,Wake Forest,8,3,5,0,7,2,5,0,5,4,1,0,13,7,6,0
Pac-12,2018,30,USC,9,4,5,0,6,3,3,0,6,2,4,0,12,5,7,0
Pac-12,2018,9,Arizona State,9,5,4,0,6,5,1,0,6,2,4,0,13,7,6,0
Ivy,2018,163,Princeton,7,7,0,0,6,6,0,0,4,4,0,0,10,10,0,0
Conference USA,2018,98,Western Kentucky,8,2,6,0,5,1,4,0,7,2,5,0,12,3,9,0
SEC,2018,61,Georgia,9,7,2,0,7,7,0,0,4,3,1,0,14,11,3,0
CAA,2018,399,UAlbany,8,1,7,0,6,3,3,0,5,0,5,0,11,3,8,0
Southland,2018,2534,Sam Houston,9,5,4,0,5,3,2,0,5,2,3,0,11,6,5,0
Big Ten,2018,213,Penn State,9,6,3,0,7,5,2,0,5,4,1,0,13,9,4,0
ACC,2018,2390,Miami,8,4,4,0,6,5,1,0,5,2,3,0,13,7,6,0
MEAC,2018,47,Howard,7,4,3,0,4,2,2,0,5,1,4,0,10,4,6,0
Southern,2018,236,Chattanooga,8,4,4,0,5,3,2,0,6,3,3,0,11,6,5,0
Ivy,2018,219,Pennsylvania,7,3,4,0,5,3,2,0,5,3,2,0,10,6,4,0
American Athletic,2018,248,Houston,8,5,3,0,6,5,1,0,6,3,3,0,13,8,5,0
SWAC,2018,2400,Mississippi Valley State,7,1,6,0,4,1,3,0,7,0,7,0,11,1,10,0
Sun Belt,2018,6,South Alabama,8,2,6,0,6,3,3,0,6,0,6,0,12,3,9,0
Mountain West,2018,68,Boise State,9,7,2,0,7,5,2,0,6,5,1,0,13,10,3,0
Sun Belt,2018,290,Georgia Southern,8,6,2,0,6,5,1,0,6,4,2,0,13,10,3,0
FBS Independents,2018,252,BYU,0,0,0,0,6,3,3,0,6,3,3,0,13,7,6,0
Great Lakes,2018,2654,Truman State,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Pac-12,2019,2483,Oregon,10,9,1,0,7,7,0,0,4,3,1,0,14,12,2,0
SIAC,2019,2310,Kentucky State,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0
Big South,2019,338,Kennesaw State,7,6,1,0,6,5,1,0,8,6,2,0,14,11,3,0
ACC,2019,153,North Carolina,8,4,4,0,6,3,3,0,5,2,3,0,13,7,6,0
Big Ten,2019,275,Wisconsin,10,7,3,0,7,7,0,0,5,3,2,0,14,10,4,0
MVFC,2019,2710,Western Illinois,8,1,7,0,6,1,5,0,6,0,6,0,12,1,11,0
SEC,2019,145,Ole Miss,8,2,6,0,7,4,3,0,5,0,5,0,12,4,8,0
SEC,2019,8,Arkansas,8,0,8,0,7,2,5,0,4,0,4,0,12,2,10,0
MVFC,2019,2571,South Dakota State,9,5,4,0,8,5,3,0,5,3,2,0,13,8,5,0
Big Sky,2019,16,Sacramento State,9,8,1,0,7,5,2,0,6,4,2,0,13,9,4,0
SWAC,2019,2011,Alabama State,7,4,3,0,6,2,4,0,5,3,2,0,11,5,6,0
OVC,2019,2634,Tennessee State,8,2,6,0,6,2,4,0,6,1,5,0,12,3,9,0
ACC,2019,2390,Miami,8,4,4,0,6,4,2,0,5,2,3,0,13,6,7,0
Pioneer,2019,2168,Dayton,8,6,2,0,5,3,2,0,6,5,1,0,11,8,3,0
Southland,2019,2534,Sam Houston,9,6,3,0,6,4,2,0,6,3,3,0,12,7,5,0
MVFC,2019,233,South Dakota,8,4,4,0,6,3,3,0,6,2,4,0,12,5,7,0
OVC,2019,93,Murray State,8,2,6,0,6,3,3,0,5,1,4,0,12,4,8,0
Conference USA,2019,249,North Texas,8,3,5,0,6,4,2,0,6,0,6,0,12,4,8,0
SWAC,2019,2016,Alcorn State,8,7,1,0,7,7,0,0,5,2,3,0,13,9,4,0
Big Ten,2019,130,Michigan,9,6,3,0,7,6,1,0,5,3,2,0,13,9,4,0
CAA,2019,399,UAlbany,8,6,2,0,7,6,1,0,7,3,4,0,14,9,5,0
Conference USA,2019,295,Old Dominion,8,0,8,0,6,1,5,0,6,0,6,0,12,1,11,0
ACC,2019,103,Boston College,8,4,4,0,6,3,3,0,6,3,3,0,13,6,7,0
Southern,2019,2747,Wofford,8,7,1,0,6,4,2,0,6,4,2,0,12,8,4,0
Big Sky,2019,2692,Weber State,9,8,1,0,8,8,0,0,7,3,4,0,15,11,4,0
Mid-American,2019,2649,Toledo,8,3,5,0,6,5,1,0,6,1,5,0,12,6,6,0
Conference USA,2019,2348,Louisiana Tech,8,6,2,0,6,6,0,0,6,3,3,0,13,10,3,0
Pioneer,2019,2086,Butler,8,2,6,0,6,3,3,0,6,0,6,0,12,3,9,0
ACC,2019,228,Clemson,9,9,0,0,7,7,0,0,5,5,0,0,15,14,1,0
NEC,2019,2803,Bryant,7,3,4,0,6,2,4,0,6,2,4,0,12,4,8,0
Southern,2019,2193,East Tennessee State,8,1,7,0,6,3,3,0,6,0,6,0,12,3,9,0
FBS Independents,2019,252,BYU,0,0,0,0,6,4,2,0,6,3,3,0,13,7,6,0
SIAC,2019,2206,Edward Waters,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0
Pioneer,2019,2166,Davidson,8,5,3,0,7,4,3,0,5,4,1,0,12,8,4,0
ACC,2019,59,Georgia Tech,8,2,6,0,7,2,5,0,5,1,4,0,12,3,9,0
ACC,2019,52,Florida State,8,4,4,0,7,5,2,0,5,1,4,0,13,6,7,0
Pac-12,2019,204,Oregon State,9,4,5,0,6,2,4,0,6,3,3,0,12,5,7,0
Big 12,2019,277,West Virginia,9,3,6,0,6,2,4,0,6,3,3,0,12,5,7,0
Southern,2019,2382,Mercer,8,3,5,0,6,2,4,0,6,2,4,0,12,4,8,0
Pac-12,2019,38,Colorado,9,3,6,0,6,3,3,0,5,1,4,0,12,5,7,0
Pioneer,2019,2413,Morehead State,8,3,5,0,6,3,3,0,6,2,4,0,12,5,7,0
Pioneer,2019,56,Stetson,8,4,4,0,7,5,2,0,4,2,2,0,11,7,4,0
CIAA,2019,2676,Virginia Union,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
CIAA,2019,2339,Lincoln (PA),0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
FCS Independents,2019,2771,Merrimack,0,0,0,0,5,4,1,0,6,2,4,0,11,6,5,0
Ivy,2019,159,Dartmouth,7,6,1,0,5,4,1,0,5,5,0,0,10,9,1,0
SEC,2019,142,Missouri,8,3,5,0,7,5,2,0,5,1,4,0,12,6,6,0
Big Ten,2019,135,Minnesota,9,7,2,0,7,6,1,0,5,4,1,0,13,11,2,0
Mountain West,2019,167,New Mexico,8,0,8,0,6,2,4,0,6,0,6,0,12,2,10,0
Mountain East,2019,2128,University Of Charleston (WV),0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Great Lakes,2019,2815,Lindenwood,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Pac-12,2019,265,Washington State,9,3,6,0,6,5,1,0,5,0,5,0,13,6,7,0
Pac-12,2019,9,Arizona State,9,4,5,0,7,5,2,0,5,2,3,0,13,8,5,0
Conference USA,2019,2229,Florida International,8,3,5,0,7,6,1,0,5,0,5,0,13,6,7,0
Gulf South,2019,2822,North Greenville,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
ACC,2019,258,Virginia,9,6,3,0,7,7,0,0,5,2,3,0,14,9,5,0
Big 12,2019,2641,Texas Tech,9,2,7,0,6,3,3,0,6,1,5,0,12,4,8,0
Great Northwest,2019,2829,Simon Fraser,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Mid-American,2019,2309,Kent State,8,5,3,0,5,4,1,0,7,2,5,0,13,7,6,0
Sun Belt,2019,309,Louisiana,9,7,2,0,6,5,1,0,6,5,1,0,14,11,3,0
Mountain West,2019,62,Hawai'i,9,5,4,0,8,6,2,0,6,3,3,0,15,10,5,0
Ivy,2019,163,Princeton,7,5,2,0,5,4,1,0,5,4,1,0,10,8,2,0
ACC,2019,221,Pittsburgh,8,4,4,0,7,4,3,0,5,3,2,0,13,8,5,0
CAA,2019,311,Maine,8,4,4,0,5,3,2,0,7,3,4,0,12,6,6,0
CIAA,2019,330,Virginia St,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Big Ten,2019,213,Penn State,9,7,2,0,7,7,0,0,5,3,2,0,13,11,2,0
Ivy,2019,43,Yale,7,6,1,0,6,6,0,0,4,3,1,0,10,9,1,0
Big Ten,2019,2509,Purdue,9,3,6,0,7,3,4,0,5,1,4,0,12,4,8,0
American Athletic,2019,2655,Tulane,8,3,5,0,6,5,1,0,6,1,5,0,13,7,6,0
CAA,2019,222,Villanova,8,5,3,0,6,5,1,0,7,4,3,0,13,9,4,0
Conference USA,2019,2393,Middle Tennessee,8,3,5,0,6,4,2,0,6,0,6,0,12,4,8,0
MVFC,2019,2287,Illinois State,9,5,4,0,6,4,2,0,9,6,3,0,15,10,5,0
Wisconsin,2019,2745,Wisconsin-Whitewater,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Ivy,2019,171,Columbia,7,2,5,0,5,2,3,0,5,1,4,0,10,3,7,0
SWAC,2019,2504,Prairie View A&M,7,4,3,0,6,4,2,0,5,2,3,0,11,6,5,0
Big 12,2019,251,Texas,9,5,4,0,6,5,1,0,4,1,3,0,13,8,5,0
Big South,2019,2453,North Alabama,7,3,4,0,5,3,2,0,6,1,5,0,11,4,7,0
Southland,2019,2320,Lamar,9,2,7,0,6,3,3,0,6,1,5,0,12,4,8,0
Patriot,2019,322,Lafayette,6,4,2,0,5,2,3,0,7,2,5,0,12,4,8,0
Mountain West,2019,328,Utah State,8,6,2,0,6,4,2,0,6,3,3,0,13,7,6,0
Lone Star,2019,2703,Western New Mexico,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Sun Belt,2019,326,Texas State,8,2,6,0,6,3,3,0,6,0,6,0,12,3,9,0
Lone Star,2019,2627,Tarleton State,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Mid-American,2019,2199,Eastern Michigan,8,3,5,0,5,2,3,0,7,4,3,0,13,6,7,0
American Athletic,2019,2132,Cincinnati,9,7,2,0,6,6,0,0,7,4,3,0,14,11,3,0
CAA,2019,2729,William & Mary,8,3,5,0,6,3,3,0,6,2,4,0,12,5,7,0
SEC,2019,333,Alabama,8,6,2,0,7,6,1,0,4,3,1,0,13,11,2,0
American Athletic,2019,248,Houston,8,2,6,0,5,1,4,0,6,3,3,0,12,4,8,0
Patriot,2019,2083,Bucknell,6,3,3,0,5,2,3,0,5,1,4,0,11,3,8,0
Sun Belt,2019,2247,Georgia State,8,4,4,0,6,5,1,0,6,2,4,0,13,7,6,0
FBS Independents,2019,113,Massachusetts,0,0,0,0,6,1,5,0,6,0,6,0,12,1,11,0
OVC,2019,2630,UT Martin,8,6,2,0,5,5,0,0,7,2,5,0,12,7,5,0
Pioneer,2019,2674,Valparaiso,8,1,7,0,6,1,5,0,6,0,6,0,12,1,11,0
Sun Belt,2019,2653,Troy,8,3,5,0,6,3,3,0,6,2,4,0,12,5,7,0
SEC,2019,2579,South Carolina,8,3,5,0,7,3,4,0,4,1,3,0,12,4,8,0
Mountain West,2019,21,San Diego State,8,5,3,0,6,4,2,0,6,5,1,0,13,10,3,0
NEC,2019,2115,Central Connecticut,7,7,0,0,5,5,0,0,8,6,2,0,13,11,2,0
SEC,2019,2633,Tennessee,8,5,3,0,8,5,3,0,4,2,2,0,13,8,5,0
Big Sky,2019,13,Cal Poly,8,2,6,0,5,1,4,0,6,2,4,0,11,3,8,0
SIAC,2019,2119,Central State (OH),0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Southland,2019,2545,SE Louisiana,9,6,3,0,6,4,2,0,7,4,3,0,13,8,5,0
SEC,2019,61,Georgia,9,7,2,0,7,6,1,0,4,4,0,0,14,12,2,0
Ivy,2019,108,Harvard,7,2,5,0,5,3,2,0,5,1,4,0,10,4,6,0
Mountain West,2019,36,Colorado State,8,3,5,0,6,2,4,0,5,2,3,0,12,4,8,0
MVFC,2019,79,Southern Illinois,8,5,3,0,5,3,2,0,7,4,3,0,12,7,5,0
Northern Sun,2019,2364,Minnesota State Mankato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
American Athletic,2019,41,UConn,8,0,8,0,6,1,5,0,6,1,5,0,12,2,10,0
American Athletic,2019,235,Memphis,9,8,1,0,7,7,0,0,6,5,1,0,14,12,2,0
Mountain West,2019,2751,Wyoming,8,4,4,0,6,6,0,0,6,1,5,0,13,8,5,0
MEAC,2019,47,Howard,8,2,6,0,5,1,4,0,7,1,6,0,12,2,10,0
Patriot,2019,2329,Lehigh,6,3,3,0,5,2,3,0,6,2,4,0,11,4,7,0
Mountain West,2019,278,Fresno State,8,2,6,0,6,2,4,0,6,2,4,0,12,4,8,0
American Athletic,2019,2426,Navy,8,7,1,0,6,6,0,0,5,3,2,0,13,11,2,0
Conference USA,2019,276,Marshall,8,6,2,0,7,6,1,0,5,2,3,0,13,8,5,0
Commonwealth Coast,2019,2702,Western New England,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Sun Belt,2019,2433,UL Monroe,8,4,4,0,6,4,2,0,6,1,5,0,12,5,7,0
Southland,2019,2277,Houston Christian,8,2,6,0,6,4,2,0,6,1,5,0,12,5,7,0
Southland,2019,2916,Incarnate Word,9,4,5,0,6,3,3,0,6,2,4,0,12,5,7,0
Big 12,2019,66,Iowa State,9,5,4,0,7,5,2,0,5,2,3,0,13,7,6,0
OVC,2019,2546,Southeast Missouri State,8,7,1,0,6,5,1,0,6,3,3,0,13,9,4,0
Pioneer,2019,294,Jacksonville,8,1,7,0,5,1,4,0,6,2,4,0,12,3,9,0
Big Ten,2019,120,Maryland,9,1,8,0,6,2,4,0,6,1,5,0,12,3,9,0
Great Lakes,2019,2654,Truman State,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0
MEAC,2019,2448,North Carolina A&T,8,6,2,0,5,5,0,0,6,3,3,0,12,9,3,0
Mountain West,2019,2005,Air Force,8,7,1,0,6,6,0,0,6,4,2,0,13,11,2,0
Big Ten,2019,84,Indiana,9,5,4,0,6,4,2,0,5,3,2,0,13,8,5,0
MEAC,2019,2065,Bethune-Cookman,8,5,3,0,3,2,1,0,7,4,3,0,11,7,4,0
CAA,2019,119,Towson,8,4,4,0,6,3,3,0,6,4,2,0,12,7,5,0
Conference USA,2019,98,Western Kentucky,8,6,2,0,6,4,2,0,5,4,1,0,13,9,4,0
CAA,2019,2619,Stony Brook,8,2,6,0,7,3,4,0,5,2,3,0,12,5,7,0
Southern,2019,2535,Samford,8,4,4,0,5,3,2,0,6,2,4,0,12,5,7,0
CIAA,2019,2207,Elizabeth City State,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0
Southern,2019,2643,The Citadel,8,4,4,0,6,3,3,0,6,3,3,0,12,6,6,0
Pioneer,2019,2368,Marist,8,4,4,0,6,2,4,0,5,2,3,0,11,4,7,0
Big 12,2019,2305,Kansas,9,1,8,0,7,2,5,0,5,1,4,0,12,3,9,0
MEAC,2019,2569,South Carolina State,8,6,2,0,6,4,2,0,5,4,1,0,11,8,3,0
OVC,2019,2635,Tennessee Tech,8,3,5,0,6,3,3,0,6,3,3,0,12,6,6,0
Ivy,2019,225,Brown,7,1,6,0,5,0,5,0,5,2,3,0,10,2,8,0
MEAC,2019,2169,Delaware State,8,1,7,0,7,2,5,0,5,0,5,0,12,2,10,0
CAA,2019,2210,Elon,8,4,4,0,5,2,3,0,6,3,3,0,11,5,6,0
Big Ten,2019,127,Michigan State,9,4,5,0,7,4,3,0,5,2,3,0,13,7,6,0
ACC,2019,150,Duke,8,3,5,0,6,3,3,0,5,2,3,0,12,5,7,0
Big Sky,2019,70,Idaho,9,4,5,0,6,4,2,0,6,1,5,0,12,5,7,0
Conference USA,2019,2636,UTSA,8,3,5,0,6,2,4,0,6,2,4,0,12,4,8,0
ACC,2019,152,NC State,8,1,7,0,7,4,3,0,5,0,5,0,12,4,8,0
SEC,2019,245,Texas A&M,8,4,4,0,7,5,2,0,4,1,3,0,13,8,5,0
MVFC,2019,2754,Youngstown State,8,2,6,0,7,5,2,0,4,0,4,0,12,6,6,0
Gulf South,2019,110242,West Florida,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
American Athletic,2019,151,East Carolina,8,1,7,0,6,2,4,0,6,2,4,0,12,4,8,0
MVFC,2019,2449,North Dakota State,9,9,0,0,10,10,0,0,5,5,0,0,16,16,0,0
Conference USA,2019,2638,UTEP,8,0,8,0,6,1,5,0,6,0,6,0,12,1,11,0
OVC,2019,55,Jacksonville State,8,3,5,0,7,5,2,0,5,1,4,0,12,6,6,0
OVC,2019,2046,Austin Peay,8,7,1,0,7,6,1,0,8,5,3,0,15,11,4,0
OVC,2019,2198,Eastern Kentucky,8,5,3,0,5,3,2,0,7,4,3,0,12,7,5,0
Mountain West,2019,2440,Nevada,8,4,4,0,6,4,2,0,6,3,3,0,13,7,6,0
South Atlantic,2019,2369,Mars Hill,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Sun Belt,2019,2026,App State,9,8,1,0,7,6,1,0,6,6,0,0,14,13,1,0
American Athletic,2019,202,Tulsa,8,2,6,0,6,2,4,0,6,2,4,0,12,4,8,0
Big Ten,2019,164,Rutgers,9,0,9,0,7,2,5,0,5,0,5,0,12,2,10,0
SEC,2019,96,Kentucky,8,3,5,0,8,6,2,0,4,1,3,0,13,8,5,0
American Athletic,2019,58,South Florida,8,2,6,0,7,2,5,0,5,2,3,0,12,4,8,0
Gulf South,2019,2401,Mississippi College,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Mountain East,2019,455,West Virginia Wesleyan,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Big 12,2019,2306,Kansas State,9,5,4,0,7,5,2,0,5,3,2,0,13,8,5,0
SIAC,2019,2232,Fort Valley State,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
MEAC,2019,50,Florida A&M,8,7,1,0,6,6,0,0,4,3,1,0,11,9,2,0
Mountain West,2019,68,Boise State,9,9,0,0,7,7,0,0,6,5,1,0,14,12,2,0
Sun Belt,2019,6,South Alabama,8,1,7,0,6,2,4,0,6,0,6,0,12,2,10,0
Great Lakes,2019,2402,Missouri S&T,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Southern,2019,236,Chattanooga,8,5,3,0,6,4,2,0,6,2,4,0,12,6,6,0
Conference USA,2019,2226,Florida Atlantic,9,8,1,0,8,6,2,0,6,5,1,0,14,11,3,0
Big Ten,2019,77,Northwestern,9,1,8,0,7,2,5,0,5,1,4,0,12,3,9,0
MEAC,2019,2428,North Carolina Central,8,3,5,0,5,2,3,0,7,2,5,0,12,4,8,0
SEC,2019,344,Mississippi State,8,3,5,0,7,4,3,0,4,1,3,0,13,6,7,0
Big Sky,2019,302,UC Davis,7,3,4,0,5,2,3,0,7,3,4,0,12,5,7,0
Big Sky,2019,2458,Northern Colorado,8,2,6,0,5,1,4,0,7,1,6,0,12,2,10,0
Great Northwest,2019,2120,Central Washington,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Mountain West,2019,2439,UNLV,8,2,6,0,6,2,4,0,6,2,4,0,12,4,8,0
Big South,2019,2097,Campbell,7,3,4,0,6,4,2,0,5,2,3,0,11,6,5,0
SIAC,2019,2542,Savannah St,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0
Big South,2019,2405,Monmouth,7,7,0,0,7,7,0,0,7,4,3,0,14,11,3,0
Big Sky,2019,331,Eastern Washington,8,5,3,0,5,5,0,0,7,2,5,0,12,7,5,0
OVC,2019,2197,Eastern Illinois,8,1,7,0,5,0,5,0,7,1,6,0,12,1,11,0
FBS Independents,2019,349,Army,0,0,0,0,6,4,2,0,6,1,5,0,13,5,8,0
Mid-American,2019,2084,Buffalo,8,5,3,0,6,5,1,0,6,2,4,0,13,8,5,0
Mid-American,2019,193,Miami (OH),9,7,2,0,5,5,0,0,7,2,5,0,14,8,6,0
Southland,2019,2447,Nicholls,9,7,2,0,6,5,1,0,8,4,4,0,14,9,5,0
Patriot,2019,46,Georgetown,6,1,5,0,5,3,2,0,6,2,4,0,11,5,6,0
Pennsylvania State Athletic,2019,2188,East Stroudsburg University,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Southland,2019,2000,Abilene Christian,9,4,5,0,6,4,2,0,6,1,5,0,12,5,7,0
Big Ten,2019,194,Ohio State,10,10,0,0,7,7,0,0,5,5,0,0,14,13,1,0
American Athletic,2019,218,Temple,8,5,3,0,7,6,1,0,5,2,3,0,13,8,5,0
Mid-American,2019,2711,Western Michigan,8,5,3,0,6,6,0,0,6,1,5,0,13,7,6,0
SWAC,2019,2400,Mississippi Valley State,7,1,6,0,6,2,4,0,5,0,5,0,11,2,9,0
Mountain East,2019,2707,West Virginia State,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Mid-American,2019,2117,Central Michigan,9,6,3,0,6,6,0,0,6,2,4,0,14,8,6,0
Big 12,2019,239,Baylor,10,8,2,0,7,6,1,0,5,5,0,0,14,11,3,0
CAA,2019,256,James Madison,8,8,0,0,9,9,0,0,6,5,1,0,16,14,2,0
Pac-12,2019,264,Washington,9,4,5,0,7,4,3,0,5,3,2,0,13,8,5,0
FCS Independents,2019,155,North Dakota,0,0,0,0,6,6,0,0,6,1,5,0,12,7,5,0
Pac-12,2019,25,California,9,4,5,0,6,3,3,0,6,4,2,0,13,8,5,0
MVFC,2019,2460,Northern Iowa,9,7,2,0,7,7,0,0,8,3,5,0,15,10,5,0
NEC,2019,2523,Robert Morris,7,6,1,0,6,4,2,0,6,3,3,0,12,7,5,0
Sun Belt,2019,2032,Arkansas State,8,5,3,0,6,4,2,0,6,3,3,0,13,8,5,0
Mid-American,2019,2050,Ball State,8,4,4,0,6,3,3,0,5,2,3,0,12,5,7,0
Big Sky,2019,2464,Northern Arizona,8,2,6,0,6,4,2,0,6,0,6,0,12,4,8,0
NEC,2019,2598,St. Francis (PA),7,3,4,0,5,2,3,0,7,4,3,0,12,6,6,0
Independent DII,2019,2824,Oklahoma Panhandle St,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
FBS Independents,2019,166,New Mexico State,0,0,0,0,5,2,3,0,7,0,7,0,12,2,10,0
Pac-12,2019,254,Utah,10,8,2,0,7,7,0,0,5,4,1,0,14,11,3,0
SEC,2019,238,Vanderbilt,8,1,7,0,7,3,4,0,5,0,5,0,12,3,9,0
Pioneer,2019,301,San Diego,8,8,0,0,6,5,1,0,5,3,2,0,12,9,3,0
Big Sky,2019,147,Montana State,7,6,1,0,8,7,1,0,7,4,3,0,15,11,4,0
SWAC,2019,2029,Arkansas-Pine Bluff,7,3,4,0,6,4,2,0,5,2,3,0,11,6,5,0
Big South,2019,2241,Gardner-Webb,7,1,6,0,5,2,3,0,7,1,6,0,12,3,9,0
Mid-American,2019,2459,Northern Illinois,8,4,4,0,5,3,2,0,7,2,5,0,12,5,7,0
American Athletic,2019,2116,UCF,8,6,2,0,6,6,0,0,6,3,3,0,13,10,3,0
ACC,2019,97,Louisville,8,5,3,0,6,4,2,0,5,2,3,0,13,8,5,0
FBS Independents,2019,2335,Liberty,0,0,0,0,6,5,1,0,6,2,4,0,13,8,5,0
Northeast 10,2019,112334,Franklin Pierce,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Great Midwest Athletic,2019,2682,Walsh,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Lone Star,2019,2395,Midwestern State,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Big South,2019,2127,Charleston Southern,7,5,2,0,5,3,2,0,7,3,4,0,12,6,6,0
Pioneer,2019,2181,Drake,8,6,2,0,5,3,2,0,6,3,3,0,11,6,5,0
SIAC,2019,2657,Tuskegee,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Big 12,2019,197,Oklahoma State,9,5,4,0,6,4,2,0,6,4,2,0,13,8,5,0
SIAC,2019,60,Morehouse College,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Conference USA,2019,2429,Charlotte,8,5,3,0,6,5,1,0,6,2,4,0,13,7,6,0
Big Sky,2019,2502,Portland State,8,3,5,0,6,4,2,0,6,1,5,0,12,5,7,0
CAA,2019,227,Rhode Island,8,0,8,0,5,1,4,0,7,1,6,0,12,2,10,0
Southland,2019,2377,McNeese,9,5,4,0,6,5,1,0,6,2,4,0,12,7,5,0
CAA,2019,257,Richmond,8,4,4,0,6,3,3,0,6,2,4,0,12,5,7,0
SWAC,2019,2640,Texas Southern,7,0,7,0,4,0,4,0,7,0,7,0,11,0,11,0
MEAC,2019,2450,Norfolk State,8,4,4,0,5,2,3,0,7,3,4,0,12,5,7,0
Southland,2019,2110,Central Arkansas,9,7,2,0,6,4,2,0,7,5,2,0,13,9,4,0
Ivy,2019,172,Cornell,7,3,4,0,5,2,3,0,5,2,3,0,10,4,6,0
Conference USA,2019,5,UAB,9,6,3,0,6,6,0,0,7,3,4,0,14,9,5,0
Sun Belt,2019,324,Coastal Carolina,8,2,6,0,6,3,3,0,6,2,4,0,12,5,7,0
ACC,2019,154,Wake Forest,8,4,4,0,7,6,1,0,5,2,3,0,13,8,5,0
CIAA,2019,2551,Shaw,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
MVFC,2019,282,Indiana State,8,3,5,0,7,4,3,0,5,1,4,0,12,5,7,0
Gulf South,2019,2560,Shorter,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Big South,2019,2261,Hampton,7,2,5,0,6,4,2,0,6,1,5,0,12,5,7,0
SIAC,2019,2323,Lane College,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0
Southland,2019,2466,Northwestern State,9,3,6,0,5,1,4,0,7,2,5,0,12,3,9,0
Big Sky,2019,253,Southern Utah,7,2,5,0,5,3,2,0,7,0,7,0,12,3,9,0
