conference,year,teamId,team,conferenceGames_games,conferenceGames_wins,conferenceGames_losses,conferenceGames_ties,homeGames_games,homeGames_wins,homeGames_losses,homeGames_ties,awayGames_games,awayGames_wins,awayGames_losses,awayGames_ties,total_games,total_wins,total_losses,total_ties
Mid-American,2000,2459,Northern Illinois,7,4,3,0,5,4,1,0,6,2,4,0,11,6,5,0
Pac-10,2000,2483,Oregon,8,7,1,0,6,6,0,0,5,3,2,0,12,10,2,0
Big Ten,2000,2509,Purdue,8,6,2,0,6,6,0,0,5,2,3,0,12,8,4,0
Western Athletic,2000,2567,SMU,8,2,6,0,6,3,3,0,6,0,6,0,12,3,9,0
Conference USA,2000,2572,Southern Miss,7,4,3,0,4,2,2,0,7,5,2,0,12,8,4,0
SEC,2000,2579,South Carolina,8,5,3,0,6,5,1,0,5,2,3,0,12,8,4,0
Western Athletic,2000,2628,TCU,8,7,1,0,6,6,0,0,5,4,1,0,12,10,2,0
SEC,2000,2633,Tennessee,8,5,3,0,6,5,1,0,5,3,2,0,12,8,4,0
Western Athletic,2000,2638,UTEP,8,7,1,0,5,5,0,0,6,3,3,0,12,8,4,0
Big 12,2000,2641,Texas Tech,8,3,5,0,8,6,2,0,4,1,3,0,13,7,6,0
Mid-American,2000,2649,Toledo,7,6,1,0,6,6,0,0,5,4,1,0,11,10,1,0
Conference USA,2000,2655,Tulane,7,3,4,0,5,4,1,0,6,2,4,0,11,6,5,0
Mid-American,2000,2711,Western Michigan,9,7,2,0,5,5,0,0,6,4,2,0,12,9,3,0
Mountain West,2000,2751,Wyoming,7,0,7,0,5,1,4,0,6,0,6,0,11,1,10,0
SEC,2001,2,Auburn,8,5,3,0,7,5,2,0,5,2,3,0,12,7,5,0
Conference USA,2001,5,UAB,8,5,3,0,5,4,1,0,6,2,4,0,11,6,5,0
SEC,2001,8,Arkansas,8,4,4,0,7,6,1,0,5,1,4,0,12,7,5,0
Pac-10,2001,9,Arizona State,9,2,7,0,7,4,3,0,4,0,4,0,11,4,7,0
Pac-10,2001,12,Arizona,10,4,6,0,6,2,4,0,5,3,2,0,11,5,6,0
Mountain West,2001,21,San Diego State,9,2,7,0,6,2,4,0,5,1,4,0,11,3,8,0
Western Athletic,2001,23,San José State,8,3,5,0,4,2,2,0,8,1,7,0,12,3,9,0
Pac-10,2001,24,Stanford,9,6,3,0,7,5,2,0,5,4,1,0,12,9,3,0
Pac-10,2001,25,California,10,0,10,0,6,0,6,0,5,1,4,0,11,1,10,0
Pac-10,2001,26,UCLA,9,5,4,0,5,4,1,0,6,3,3,0,11,7,4,0
Pac-10,2001,30,USC,9,5,4,0,6,4,2,0,6,2,4,0,12,6,6,0
Mountain West,2001,36,Colorado State,8,5,3,0,7,4,3,0,5,3,2,0,12,7,5,0
Big 12,2001,38,Colorado,9,8,1,0,6,5,1,0,7,5,2,0,13,10,3,0
FBS Independents,2001,41,UConn,0,0,0,0,5,1,4,0,6,1,5,0,11,2,9,0
ACC,2001,52,Florida State,9,7,2,0,6,4,2,0,6,4,2,0,12,8,4,0
SEC,2001,57,Florida,8,6,2,0,8,7,1,0,4,3,1,0,12,10,2,0
FBS Independents,2001,58,South Florida,0,0,0,0,7,7,0,0,4,1,3,0,11,8,3,0
ACC,2001,59,Georgia Tech,9,5,4,0,6,3,3,0,7,5,2,0,13,8,5,0
SEC,2001,61,Georgia,8,5,3,0,7,4,3,0,5,4,1,0,12,8,4,0
Western Athletic,2001,62,Hawai'i,8,5,3,0,9,7,2,0,3,2,1,0,12,9,3,0
Big 12,2001,66,Iowa State,8,4,4,0,7,4,3,0,5,3,2,0,12,7,5,0
Western Athletic,2001,68,Boise State,8,6,2,0,6,5,1,0,6,3,3,0,12,8,4,0
Sun Belt,2001,70,Idaho,6,1,5,0,4,1,3,0,7,0,7,0,11,1,10,0
Big Ten,2001,77,Northwestern,10,4,6,0,5,2,3,0,6,2,4,0,11,4,7,0
Big Ten,2001,84,Indiana,10,4,6,0,6,3,3,0,5,2,3,0,11,5,6,0
FBS Independents,2001,87,Notre Dame,0,0,0,0,6,4,2,0,5,1,4,0,11,5,6,0
SEC,2001,96,Kentucky,8,1,7,0,6,1,5,0,5,1,4,0,11,2,9,0
Conference USA,2001,97,Louisville,10,8,2,0,6,6,0,0,7,5,2,0,13,11,2,0
SEC,2001,99,LSU,9,6,3,0,8,6,2,0,5,4,1,0,13,10,3,0
Big East,2001,103,Boston College,7,4,3,0,6,5,1,0,6,3,3,0,12,8,4,0
ACC,2001,120,Maryland,8,7,1,0,7,7,0,0,5,3,2,0,12,10,2,0
Big Ten,2001,127,Michigan State,8,3,5,0,6,4,2,0,6,3,3,0,12,7,5,0
Big Ten,2001,130,Michigan,9,6,3,0,6,5,1,0,6,3,3,0,12,8,4,0
Big Ten,2001,135,Minnesota,8,2,6,0,6,4,2,0,5,0,5,0,11,4,7,0
Big 12,2001,142,Missouri,8,3,5,0,6,2,4,0,5,2,3,0,11,4,7,0
SEC,2001,145,Ole Miss,8,4,4,0,6,4,2,0,5,3,2,0,11,7,4,0
ACC,2001,150,Duke,9,0,9,0,6,0,6,0,5,0,5,0,11,0,11,0
Conference USA,2001,151,East Carolina,10,6,4,0,5,2,3,0,7,4,3,0,12,6,6,0
ACC,2001,152,NC State,9,5,4,0,7,3,4,0,5,4,1,0,12,7,5,0
ACC,2001,153,North Carolina,9,6,3,0,6,5,1,0,7,3,4,0,13,8,5,0
ACC,2001,154,Wake Forest,9,4,5,0,6,2,4,0,5,4,1,0,11,6,5,0
Big 12,2001,158,Nebraska,8,7,1,0,8,8,0,0,5,3,2,0,13,11,2,0
Big East,2001,164,Rutgers,7,0,7,0,7,1,6,0,4,1,3,0,11,2,9,0
Sun Belt,2001,166,New Mexico State,6,4,2,0,4,2,2,0,8,3,5,0,12,5,7,0
Mountain West,2001,167,New Mexico,7,4,3,0,6,4,2,0,5,2,3,0,11,6,5,0
Big East,2001,183,Syracuse,7,6,1,0,7,6,1,0,6,4,2,0,13,10,3,0
Mid-American,2001,189,Bowling Green,8,5,3,0,5,4,1,0,6,4,2,0,11,8,3,0
Mid-American,2001,193,Miami (OH),8,6,2,0,5,4,1,0,7,3,4,0,12,7,5,0
Big Ten,2001,194,Ohio State,9,5,4,0,6,4,2,0,6,3,3,0,12,7,5,0
Mid-American,2001,195,Ohio,8,1,7,0,5,0,5,0,6,1,5,0,11,1,10,0
Big 12,2001,197,Oklahoma State,8,2,6,0,6,2,4,0,5,2,3,0,11,4,7,0
Big 12,2001,201,Oklahoma,8,6,2,0,8,7,1,0,5,4,1,0,13,11,2,0
Western Athletic,2001,202,Tulsa,8,0,8,0,6,1,5,0,5,0,5,0,11,1,10,0
Pac-10,2001,204,Oregon State,8,3,5,0,5,4,1,0,6,1,5,0,11,5,6,0
Big Ten,2001,213,Penn State,10,5,5,0,6,3,3,0,5,2,3,0,11,5,6,0
Big East,2001,218,Temple,7,2,5,0,6,3,3,0,5,1,4,0,11,4,7,0
Big East,2001,221,Pittsburgh,7,4,3,0,6,3,3,0,6,4,2,0,12,7,5,0
ACC,2001,228,Clemson,8,4,4,0,6,3,3,0,6,4,2,0,12,7,5,0
Conference USA,2001,235,Memphis,7,3,4,0,6,4,2,0,5,1,4,0,11,5,6,0
SEC,2001,238,Vanderbilt,8,0,8,0,6,1,5,0,5,1,4,0,11,2,9,0
Big 12,2001,239,Baylor,8,0,8,0,7,3,4,0,4,0,4,0,11,3,8,0
Western Athletic,2001,242,Rice,8,5,3,0,5,5,0,0,7,3,4,0,12,8,4,0
